Title,URL,latitude,longitude,Type
oh!shoot,"https://www.google.com/maps/place/oh!shoot/@34.0251224,-118.3946284,16z/data=!4m14!1m7!3m6!1s0x80c2bbaf9a06f285:0xb8c329bcf45adaeb!2soh*21shoot!8m2!3d34.0251224!4d-118.3946284!16s%2Fg%2F11y5m4698j!3m5!1s0x80c2bbaf9a06f285:0xb8c329bcf45adaeb!8m2!3d34.0251224!4d-118.3946284!16s%2Fg%2F11y5m4698j?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",34.0251224,-118.3946284,Digital
POTOBOX ANN ARBOR,"https://www.google.com/maps/place/POTOBOX+ANN+ARBOR/@42.2795546,-83.7412876,16z/data=!4m14!1m7!3m6!1s0x883caf000c7f8287:0xf59343d2925698ab!2sPOTOBOX+ANN+ARBOR!8m2!3d42.2795546!4d-83.7412876!16s%2Fg%2F11y5tm773n!3m5!1s0x883caf000c7f8287:0xf59343d2925698ab!8m2!3d42.2795546!4d-83.7412876!16s%2Fg%2F11y5tm773n?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",42.2795546,-83.7412876,Digital
Rumpus Room,"https://www.google.com/maps/place/Rumpus+Room/@40.7229243,-73.9897168,16z/data=!4m14!1m7!3m6!1s0x89c259846d942ec1:0xf1548070c3ba6f57!2sRumpus+Room!8m2!3d40.7229243!4d-73.9897168!16s%2Fg%2F11bw5mbqp4!3m5!1s0x89c259846d942ec1:0xf1548070c3ba6f57!8m2!3d40.7229243!4d-73.9897168!16s%2Fg%2F11bw5mbqp4?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.7229243,-73.9897168,Digital
The Commissioner,"https://www.google.com/maps/place/The+Commissioner/@40.6749081,-73.9812008,16z/data=!3m1!5s0x89c25b006c80d3a1:0x95243e77f629916d!4m14!1m7!3m6!1s0x89c25b006b8188fb:0xac393d48006c5da5!2sThe+Commissioner!8m2!3d40.6749081!4d-73.9812008!16s%2Fg%2F11df11ykx2!3m5!1s0x89c25b006b8188fb:0xac393d48006c5da5!8m2!3d40.6749081!4d-73.9812008!16s%2Fg%2F11df11ykx2?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.6749081,-73.9812008,Vintage
Parkview Market,"https://www.google.com/maps/place/Parkview+Market/@40.6658231,-73.9789809,17z/data=!3m1!5s0x89c25b0334419ee7:0xf11c04903616ee1c!4m14!1m7!3m6!1s0x89c25ba525849ad7:0x7f58d8b78f33737f!2sParkview+Market!8m2!3d40.6658231!4d-73.9789809!16s%2Fg%2F11r9dq8vyf!3m5!1s0x89c25ba525849ad7:0x7f58d8b78f33737f!8m2!3d40.6658231!4d-73.9789809!16s%2Fg%2F11r9dq8vyf?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",40.6658231,-73.9789809,Digital
Watsons Bugis Junction +Pharmacy + GNC (Click & Collect),"https://www.google.com/maps/place/Watsons+Bugis+Junction+%2BPharmacy+%2B+GNC+(Click+%26+Collect)/@1.2990594,103.8527702,17z/data=!3m2!4b1!5s0x31da19babb327c87:0xad0170a712fd65d5!4m6!3m5!1s0x31da19bac09ab359:0xabd49b8265d3b8ff!8m2!3d1.2990594!4d103.8553451!16s%2Fg%2F11b6v3r_mf?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",1.2990594,103.8527702,Digital
Bellows Film Lab Atlanta,"https://www.google.com/maps/place/Bellows+Film+Lab+Atlanta/@33.7649665,-84.3501484,17z/data=!4m14!1m7!3m6!1s0x88f50715fee5009f:0xff23412235d11cc2!2sBellows+Film+Lab+Atlanta!8m2!3d33.7649665!4d-84.3501484!16s%2Fg%2F11kj0f3v6l!3m5!1s0x88f50715fee5009f:0xff23412235d11cc2!8m2!3d33.7649665!4d-84.3501484!16s%2Fg%2F11kj0f3v6l?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",33.7649665,-84.3501484,Vintage
Bellows Film Lab Miami,"https://www.google.com/maps/place/Bellows+Film+Lab+Miami/@25.7963684,-80.1988104,17z/data=!4m14!1m7!3m6!1s0x88d9b6b1d8772e43:0x39645be5459ca515!2sBellows+Film+Lab+Miami!8m2!3d25.7963684!4d-80.1988104!16s%2Fg%2F11m_r59fs6!3m5!1s0x88d9b6b1d8772e43:0x39645be5459ca515!8m2!3d25.7963684!4d-80.1988104!16s%2Fg%2F11m_r59fs6?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",25.7963684,-80.1988104,Vintage
Day to Day Collective,"https://www.google.com/maps/place/Day+to+Day+Collective/@32.7281138,-117.1743086,17z/data=!4m15!1m8!3m7!1s0x80d954b49e864a71:0x21c603992d34347b!2s2310+Kettner+Blvd,+San+Diego,+CA+92101!3b1!8m2!3d32.7281138!4d-117.1717337!16s%2Fg%2F11t9d1v88h!3m5!1s0x80d955eccb8e1811:0x65299375d74a73b7!8m2!3d32.7281138!4d-117.1717337!16s%2Fg%2F11xyxp8lzl?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",32.7281138,-117.1743086,Vintage
BOOTH BY BRYANT OC - Vintage & Digital Photobooths,"https://www.google.com/maps/place/BOOTH+BY+BRYANT+OC+-+Vintage+%26+Digital+Photobooths/@33.6781721,-117.8867899,17z/data=!4m6!3m5!1s0x80dcdf75474c005b:0x47deb9587069ba49!8m2!3d33.6780114!4d-117.8874122!16s%2Fg%2F11y7d75brq?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",33.6781721,-117.8867899,Vintage
